bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
tarai;b77766c83808648b97785f195ae43efcdb883176;202;143;315;278;389;341;258;464;175;284;524;488;178;683;492;697;100;158;258;18408;2392;280;1025;1.4625;18.6375;153716;417;84.27272727270001;1.15454545455;14.5727272727
tarai;b79185b6c777cb48044457a0a5b9fb7c0c3dde91;225;197;308;290;415;378;222;504;120;284;537;501;150;688;507;702;90;170;260;20860;2392;280;1025;1.5625;18.625;201380;422;84.54545454550001;1.1818181818200002;14.2727272727
tarai;b7b446ff48d174d36b6317b6c631921c1cd8a986;172;127;279;252;343;347;208;442;170;377;460;418;165;661;472;675;95;134;229;15208;2392;280;1025;1.8875000000000002;18.650000000000002;150016;395;83.8545454545;1.4636363636399998;14.6818181818
tarai;b7c12a71eecc6eab2889730fc6ab41505fa13f4b;240;130;308;317;421;345;213;507;121;284;539;503;150;700;504;714;92;170;262;20732;2392;280;1025;1.125;18.6875;201542;434;84.6818181818;0.863636363636;14.4545454545
tarai;b7cfa26b9330e2362ce5fa8f38c1487bd5899fa3;221;190;319;247;363;423;269;454;119;286;534;492;150;683;507;697;100;170;270;15848;2392;280;1025;1.875;19.3125;150656;417;83.45454545449999;1.5;15.0454545455
tarai;b836ce070b8446fb5f5d59c4d5efe61a88d5593a;394;395;264;237;720;637;497;720;406;284;885;849;150;914;766;928;74;116;190;11260;2392;280;1025;1.8375000000000001;25.7875;172900;648;78.5727272727;1.45454545455;19.9727272727
tarai;b844c8e1941de0c7c8e973add5e6efc11bd462a9;221;154;282;442;434;378;252;596;217;284;666;630;146;695;533;709;73;115;188;10472;2392;280;1025;1.75;24.0625;145780;429;80.1363636364;1.36363636364;18.5
tarai;b88ad5c18646c21f2300a611973a388212f940d5;295;172;400;415;282;845;716;942;61;284;971;935;146;1000;669;1014;259;247;506;10472;2392;280;1025;0.675;15.350000000000001;145278;734;87.14545454549999;0.545454545455;12.3090909091
tarai;b89f1f2608cfa100651ac01c737f83d2e78c84c6;213;201;303;280;415;368;223;503;120;284;538;502;150;685;504;699;90;170;260;20668;2392;280;1025;1.75;19.25;201438;419;83.3636363636;1.36363636364;15.2727272727
tarai;b8a2e554466e84a9dd1b379494e363c718f405d0;274;197;460;311;615;576;461;599;391;471;932;896;173;961;595;975;171;148;319;12412;2392;284;1025;1.275;25.125;175615;636;79.6454545455;1.0;19.3545454545
tarai;b8b79a6ae3f4a25abc72ddca511bc2b3400c1ec1;244;180;315;361;437;388;238;529;127;284;562;526;150;721;529;735;90;170;260;13096;2392;280;1025;1.1875;19.4375;147902;455;83.72727272729999;0.909090909091;15.3636363636
tarai;b8d22e8099c3a6659df9b780054224329827e5f7;237;175;315;237;466;451;309;544;200;284;698;662;150;727;523;741;75;117;192;10344;2392;280;1025;1.9875000000000005;20.349999999999998;145150;461;82.6909090909;1.54545454545;15.763636363599998
tarai;b8e5e26f98941d6a7cbbbe8e8d7b45d5412f5851;220;157;285;448;456;405;305;598;218;284;678;642;150;707;541;721;74;116;190;18044;2392;280;1025;1.5625;23.125;198556;441;80.8181818182;1.22727272727;17.9545454545
