bench,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,sl,fp,ip,sp,lr,memoryRead,memoryWrite,data,bss,rf_sdc,rf_hang,size
aes_128,0.7345020675396279,0.7333218470020676,0.7443314955203308,0.8144641626464507,0.662947966919366,0.4548587181254307,0.5332012405237767,0.3943314955203308,0.9961405926946932,0.9977429359062716,0.5351223294279807,0.6506977946243969,0.7377498277050311,1.0023862853204686,0.656762577532736,31986,16964,2440,308,44.6875,10.375,166826
aes_128,0.7788233935685006,0.7305417866009056,0.761354920121735,0.80473743680256,0.5237407935866455,0.7091886809570546,0.6389931297269211,1.0001567049081628,0.601021056191081,0.9977071597647776,0.7105165488630647,0.701254464027976,0.8425940435639645,1.002284592608477,0.5143962324841027,33990,16658,2440,308,53.25,10.75,166122
aes_128,0.7454909094199947,0.7988217087937447,0.791672322826451,0.7824957691924814,0.69420537742423,0.9988144689092208,0.5157422239115286,0.4970361722730522,0.5770187965501951,0.9967692015312356,0.5545118055367017,0.4698685055973357,0.6853093693155594,1.0025068100163803,0.7361062091059648,32383,13774,2440,308,52.8125,10.9375,231281
aes_128,0.7632688420444701,0.7160100655913535,0.7847201023060105,0.8232663668990553,0.5347799183202013,0.6874881399282208,0.9977723691266862,0.646384225073223,0.9966173012664494,7.596130522668207,0.7282042820015676,0.7203250690978095,0.8126232416154449,1.0022853842663255,0.5062579926570686,34046,16672,2440,308,51.4375,10.5625,165556
aes_128,0.996069314287084,0.7668272495585968,0.7991994822999305,0.8811526815745112,0.9976511756105744,0.6640062635317051,0.7422684530514744,0.4907924486094799,7.778451533526672,14.656009075729614,0.6586135544743507,0.5995174524043493,0.6571275635341018,1.0022130080131662,0.7651654962490713,35826,17942,2440,308,45.875,10.875,221416
aes_128,0.995422142639954,0.9648524161852314,0.9626282419451108,0.8848497133912182,0.5411275155692197,0.6327522326204714,0.3316947644627633,0.1521785645911461,0.1418291158485084,0.930301699381736,1.000782684099688,1.000343480072525,0.5805151074923702,1.001559737378515,0.8982060204736646,47218,22395,2440,308,30.9375,21.9375,209038
aes_128,0.8111587982832618,0.8318412566398067,0.8075260296113801,0.8333947948623392,0.7872280327341488,0.9986269232881656,0.7970435696856046,0.9982895387246864,0.6608265137189979,0.7638386517171305,0.7610532675302666,0.539266070882143,0.7383543479454849,1.002173384281018,0.6762363575020989,38078,21771,2440,308,45.375,10.875,222406
aes_128,0.778917425897679,0.7304860452652843,0.7619079028733974,0.8047986148328318,0.5248052108669662,0.7095436368883209,0.6392216679721318,1.0005359277734265,0.6008327493094777,0.997411056602218,0.7109865193552377,0.7017273364389661,0.842428989570021,1.0027703343364802,0.5146720534278765,34016,16672,2440,312,52.8125,11.0,195499
aes_128,0.9957335880133392,0.7766670319863475,0.8247248359975575,0.8540417403829594,0.6894365204866059,0.6089461570979005,0.5741259726636502,0.6440246747350128,0.6816082416119992,7.462095473689154,0.6657246637754224,0.5624305240249878,0.7280455918961657,1.002168433248266,0.6832130387812936,36782,21134,2440,308,37.0625,10.625,169002
aes_128,0.7804917043959797,0.6036496297319099,0.564769663452105,0.536994106233149,0.7393516129735543,0.9198854676133514,0.5947544748297638,0.7713567291410798,34.04854545322413,0.999018916738734,0.7179276614608693,0.99898258032165,0.7011039003510098,1.0020130375064498,0.7396786407273097,41620,19975,2440,308,45.5625,11.0625,164522
aes_128,0.9295791289552662,0.9717213728131326,0.5779316429173461,0.9688698789296658,0.3244086301013777,0.6069034509377634,0.6122283400682152,0.680577545667226,0.4548684137974494,0.3707887295098109,0.9572039605832172,0.7775834770895858,0.5434537735031626,1.002181944214697,0.3187607817189309,33374,19707,2440,308,25.375,22.625,161004
aes_128,0.6310178085307778,0.7711233242590785,0.6775313135167262,0.7358291202864627,0.5805933241857019,0.8948291422994797,0.5566651746732901,0.8237344349625412,0.732373076612637,0.999024089578304,0.8041428498051848,0.9990461025953348,0.5456733415026085,1.0020325352391717,0.6669357146525979,41368,19331,2440,308,49.125,11.25,164394
aes_128,0.8440944881889764,0.8315125530774622,0.8370532217504225,0.8627117945335367,0.7401657253576287,0.7735746382487529,0.996561817207404,0.653353671105248,14.855654038009646,29.45859751824216,0.7500762666446799,0.9354990312074865,0.8934410685575298,1.0022838768190625,0.7513707383435709,29911,14756,2440,308,68.375,9.625,251432
aes_128,0.7158226032367484,0.7324366741482019,0.7740688863762931,0.8536037936446327,0.4099178156167203,0.6773798876082151,0.5998784953676359,0.9968020655787502,0.7387903538822418,0.5714514740874496,0.6361358151779537,0.6333007070894577,0.6194289282278886,1.002337276608671,0.6740469480398941,35826,15484,2440,308,43.8125,10.9375,231857
aes_128,0.7185926410074658,0.674046525329332,0.7472037853611835,0.8235646098187408,0.7293264229625607,0.9990794355098548,0.4527980557677968,1.000405048375664,0.7737712765467785,0.5475241418037541,0.5168785499268151,0.4751493615885261,0.5448360934925296,1.0025499636377029,0.5647755203490781,30220,16252,2440,308,49.25,10.375,193348
