bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
bubblesort;c6cfb93ad15f8843dc9e110ca6097812304a3e07;2780;42347;44252;57987;21196;57867;57601;57988;261;675;58142;58108;56846;58173;31384;58187;10350;9951;20301;18428;2392;668;1025;21.875;11.6875;200420;57736;72.0909090909;18.4090909091;9.5
bubblesort;c8410859a1716874e8264a4cac9323cb38c25416;62648;61463;47209;28135;62729;2625;63394;63787;61;455;63842;63806;12411;63871;7151;63885;10447;688;11135;17916;2392;668;1025;19.6875;11.5;199882;63434;73.8636363636;16.6818181818;9.45454545455
bubblesort;cbc361340b09f527480528583cc368f1f2042af7;30665;66689;31359;56846;67102;67238;67651;68046;61;455;68096;68060;15267;68125;67352;68139;10449;10191;20640;10344;2392;668;1025;24.125;11.6875;146338;67688;69.5;20.4090909091;10.0909090909
bubblesort;cd6804f740bcf8a253ee5e6b16034741176e2d52;195167;25320;76688;112535;195553;195512;195201;195617;61;445;195646;195602;323;620;546;195689;107119;25659;132778;19004;2392;672;1025;2.9375;10.6875;227651;195192;86.4090909091;4.95454545455;8.63636363636
bubblesort;cd915579611a9d2676dafe2833e2b83ae8b3d576;21658;66312;33150;68243;68911;2936;68576;68973;61;455;69002;68948;10813;579;2814;69045;15994;688;16682;10344;2392;668;1025;9.375;11.8125;146840;68594;81.5909090909;9.22727272727;9.18181818182
bubblesort;cecd6007d2acdfa4d59f80ed989f8e2468495e9b;10959;15707;57305;56946;58003;57061;57668;58065;61;455;58094;58058;56560;58123;2417;58137;10548;489;11037;17916;2392;668;1025;4.3125;12.6875;199616;57686;83.45454545449999;5.909090909090001;10.6363636364
bubblesort;cee358523069e75edce0b68c6b54dc115f4e72fa;11457;16007;56207;56751;57801;57064;57469;57866;61;455;57895;57859;56561;57924;2220;57938;10546;489;11035;10280;2392;668;1025;4.3125;12.25;146274;57487;84.0909090909;5.954545454550001;9.95454545455
bubblesort;ceee970dd899074424fbdd3360175e8d5a46fd69;10564;15722;56691;56658;57585;56688;57276;57463;57700;57459;57699;57679;56781;57744;2039;57758;10564;447;11011;11368;2392;668;1025;4.0625;12.5;148341;57307;83.95454545449999;5.954545454550001;10.0909090909
bubblesort;d060c5b3b61ac7a5cfb9d84f57471e813525cd75;10564;55725;66501;66757;67776;66868;67462;67648;67905;67664;67904;67884;539;67949;67167;67963;10564;447;11011;11368;2392;668;1025;15.25;11.9375;148341;67512;76.6363636364;13.9090909091;9.45454545455
bubblesort;d1071b01511c5952009ce21c9162ba3406596e5c;731;46970;46871;46748;16740;47698;47589;47776;48013;47772;48012;47992;11536;48057;13719;48071;9364;623;9987;11816;2392;668;1025;7.25;11.1875;148789;47620;82.54545454550001;8.090909090910001;9.36363636364
