bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
mmultvector;e1c4bb045566a9135b919438b81d4a8dc2c863df;75;63;208;233;268;264;132;361;61;287;390;354;160;419;363;433;49;95;144;10280;2392;284;1025;1.875;14.75;145690;150;86.86363636360001;1.45454545455;11.6818181818
mmultvector;e1d6c18c79ecc447ffd6b33e4068c0dba33c7723;76;66;208;234;268;265;133;362;61;287;391;355;163;420;364;434;49;96;145;10280;2392;284;1025;1.5;16.0;145188;151;85.6363636364;1.1818181818200002;13.1818181818
mmultvector;e22e60e9d75e702725f5b4f5cfadea86b18c4e86;104;93;296;278;377;344;201;449;61;277;478;442;156;507;374;521;76;113;189;18620;2392;288;1025;1.3125;18.0;226405;192;84.72727272729999;1.09090909091;14.1818181818
mmultvector;e240168efc70dde5a12c405afec8e716167278dd;225;257;397;466;466;473;303;418;109;411;603;573;264;638;524;652;104;116;220;17916;2392;284;1025;20.6875;19.1875;198810;369;69.6363636364;15.2272727273;15.1363636364
mmultvector;e2516b35a419a3336cfce881ed9a75239769cb1f;68;67;206;234;268;262;130;359;61;287;388;352;154;417;361;431;49;96;145;10280;2392;284;1025;1.5625;15.625;145690;148;86.72727272729999;1.22727272727;12.0454545455
mmultvector;e3235f33b140c99a8af5f219113020d3c9851924;181;224;426;475;801;760;628;857;61;287;886;839;213;403;859;929;322;147;469;18044;2392;284;1025;6.0625;16.875;198942;646;82.4090909091;4.63636363636;12.9545454545
mmultvector;e35e024444f59bca104e4a6842a8bba3e93ded54;75;74;206;243;268;262;130;359;61;287;388;352;151;417;361;431;49;96;145;10216;2392;284;1025;2.0;15.1875;145624;148;86.8181818182;1.59090909091;11.5909090909
mmultvector;e4495b585d1f07d537720fdfaa5b1f1a1b5f634a;71;65;206;234;268;262;130;359;61;287;388;352;155;417;361;431;49;96;145;10280;2392;284;1025;1.625;15.3125;145186;148;86.72727272729999;1.22727272727;12.0454545455
mmultvector;e4a34a4e2e38b2a1aed1746e4ed49f4a255826cd;75;77;208;246;268;265;133;362;61;287;391;355;154;420;364;434;49;99;148;17788;2392;284;1025;2.0;14.75;198676;151;86.77272727270001;1.6818181818200002;11.5454545455
mmultvector;e50e49866c33055bd6f59ac2216e6ea21bd43d6d;68;62;196;252;268;272;140;369;61;287;398;362;154;427;371;441;47;96;143;17852;2392;284;1025;1.4375;16.125;198738;158;86.0909090909;1.13636363636;12.7727272727
mmultvector;e513bccb88d8acd8cf62f5b4bfd4e2615ad01123;91;131;269;273;268;328;196;425;61;287;454;418;199;483;421;497;74;103;177;10344;2392;284;1025;6.75;18.3125;145250;214;80.4090909091;5.090909090909999;14.5
mmultvector;e54fe0d68edd96af6c7448937cfa8fc5708f10b4;69;63;195;248;268;269;137;366;61;287;395;359;154;424;368;438;47;96;143;17916;2392;284;1025;2.0;15.4375;198802;155;86.22727272729999;1.63636363636;12.1363636364
mmultvector;e5baff397576b1a9718c0ec0bcb71d0c98cdef62;78;66;209;234;268;266;134;363;61;287;392;356;162;421;365;435;49;96;145;10216;2392;284;1025;1.875;14.5;145626;152;87.27272727270001;1.5;11.2272727273
mmultvector;e5cfd668f1c40c4a68eb370c6933f91a93c9208a;69;62;198;254;268;274;142;371;61;287;400;364;154;429;373;443;47;98;145;10216;2392;284;1025;2.1875;15.0625;145624;160;86.4545454545;1.6818181818200002;11.8636363636
mmultvector;e61422a1881eac005261d6b1660c579ae4841d89;104;114;229;289;299;305;173;402;61;287;431;395;191;460;382;474;70;100;170;17980;2392;284;1025;8.75;14.125;198852;191;82.0909090909;6.590909090909999;11.3181818182
mmultvector;e626efbde849d8ace85b8c0d805c8d88de6dd0e6;122;132;246;310;375;314;223;452;61;287;481;445;220;510;388;524;73;100;173;10280;2392;284;1025;8.875;15.625;145690;241;81.04545454550001;6.545454545449999;12.4090909091
mmultvector;e6323cb60fe7cc0744d1a78823de846c01c6fc19;79;96;310;377;413;423;291;520;61;287;549;513;318;578;505;592;88;112;200;10216;2392;284;1025;8.8125;20.3125;145122;309;77.6363636364;6.5;15.8636363636
mmultvector;e71f0ce94665cb2410f35266c1a0562dd5bafab2;76;64;208;233;268;264;132;361;61;287;390;354;160;419;363;433;49;95;144;10280;2392;284;1025;1.9375;15.0;145186;150;86.63636363639999;1.45454545455;11.9090909091
mmultvector;e7213cf01f515f3e965dfe7fb915827cea98d357;197;180;482;447;801;760;628;857;61;287;886;839;213;403;859;929;322;147;469;10472;2392;284;1025;5.9375;16.5625;145380;646;82.22727272729999;4.590909090909999;13.1818181818
mmultvector;e74921fefa0cb8da6b5d2c7976094357a0fc6528;73;73;206;242;268;262;130;359;61;287;388;352;152;417;361;431;49;96;145;17788;2392;284;1025;1.9375;16.1875;198674;148;85.8181818182;1.54545454545;12.6363636364
mmultvector;e816f0d51d4da9e6771e4256cf823f45f55c5713;71;65;206;234;268;261;129;358;61;287;387;351;155;416;360;430;49;96;145;10280;2392;284;1025;1.6875;14.125;145688;147;87.4090909091;1.36363636364;11.2272727273
mmultvector;e8b74757d5091361ca7f80c0f0b25677c6ae84bd;323;332;194;258;491;535;506;467;455;289;784;769;149;834;768;848;73;100;173;11132;2392;284;1025;14.8125;21.125;179582;565;72.3636363636;10.9090909091;16.7272727273
mmultvector;e93f4a7d510ffcde7d4a8eaf7082130a9fefb9e3;83;62;209;231;268;265;133;362;61;287;391;355;159;420;364;434;49;95;144;10216;2392;284;1025;2.1875;14.875;145122;151;86.3181818182;1.63636363636;12.0454545455
mmultvector;e9cf26ef2ffc830d1ccd905a346463b31c24c06a;93;130;242;313;268;355;223;452;61;287;481;445;242;510;437;524;72;100;172;10280;2392;284;1025;7.8125;15.625;145688;241;82.0909090909;5.818181818180001;12.0909090909
mmultvector;e9e1d7ac5025e0dc922a4ffd0850696f7c1e24de;83;62;210;231;268;267;135;364;61;287;393;357;153;422;366;436;49;95;144;10216;2392;284;1025;1.6875;16.375;145124;153;86.13636363639999;1.40909090909;12.4545454545
mmultvector;ea4e2616e96018e0d75075babe25e3164713516c;76;64;208;233;268;264;132;361;61;287;390;354;160;419;363;433;49;95;144;10280;2392;284;1025;1.5625;14.9375;145188;150;86.9545454545;1.13636363636;11.9090909091
mmultvector;ea6a29ed65c91e490db800dc3624512c4737fff1;73;62;199;255;325;284;152;381;61;287;410;358;153;411;383;453;50;98;148;10280;2392;284;1025;2.4375;15.875;145186;170;85.77272727270001;1.81818181818;12.4090909091
mmultvector;eabbd1ae6a391a112464e92faa265483527de044;81;96;310;377;413;423;291;520;61;287;549;513;318;578;505;592;88;112;200;10216;2392;284;1025;8.6875;21.125;145122;309;77.5;6.409090909090001;16.0909090909
mmultvector;ec140120b0f991e1149ebe72a34a54e762ba0549;71;77;205;245;268;263;131;360;61;287;389;353;154;418;362;432;49;97;146;17788;2392;284;1025;2.25;15.5625;198674;149;85.9545454545;1.6818181818200002;12.3636363636
mmultvector;ec341e1fa2563a111ce4a375ece448b27ae831e3;78;65;209;234;268;266;134;363;61;287;392;356;161;421;365;435;49;96;145;10216;2392;284;1025;1.75;14.9375;145624;152;87.0;1.3181818181799998;11.6818181818
mmultvector;ec8382ee3831a1d0c6a837be4125ead4ea419894;68;77;204;248;268;263;131;360;61;287;389;353;153;418;362;432;48;98;146;17788;2392;284;1025;2.1875;14.875;198674;149;86.8181818182;1.63636363636;11.5454545455
mmultvector;ec8e482da95b3cefebddacebd20ebe5818370b4a;101;83;309;283;386;353;210;458;61;277;487;451;156;516;374;530;74;112;186;18684;2392;288;1025;1.3125;18.6875;226469;201;84.4090909091;1.09090909091;14.5
mmultvector;edc4a50fef0cae2c4189863469f7b9b50a5dd7b4;116;106;300;263;370;351;208;456;61;277;485;439;180;452;387;528;76;112;188;12156;2392;288;1025;2.8125;17.4375;174957;199;84.5;2.04545454545;13.4545454545
mmultvector;edce5be10a9fc1fb44753033f2a7b9e91e27f116;95;130;246;306;375;314;223;452;61;287;481;445;251;510;388;524;73;100;173;10280;2392;284;1025;8.6875;16.25;145186;241;80.8181818182;6.5;12.6818181818
mmultvector;eddf84eb77f3e5e205990ff52d9947ad53947a36;82;85;217;260;309;279;147;376;61;287;405;369;174;434;370;448;50;99;149;10280;2392;284;1025;1.75;15.125;145690;165;86.5454545455;1.5;11.9545454545
mmultvector;ee4e691092a5f9d5aaf4ff2d8cd58e0a0d977edf;479;480;198;234;887;578;754;981;502;830;1002;1003;149;1068;1001;1082;104;116;220;17980;2392;284;1025;16.25;32.0;216795;799;63.9090909091;11.9090909091;24.1818181818
mmultvector;ee83ef061232f1b976549dd3b57cf054210fedde;83;69;211;257;268;273;141;370;61;287;399;363;151;428;372;442;49;95;144;10216;2392;284;1025;1.8125;15.5625;145122;159;86.6818181818;1.36363636364;11.9545454545
mmultvector;eeddd9d2a1c71001c09e49c86f0ec938c2050596;69;63;195;249;268;270;138;367;61;287;396;360;154;425;369;439;48;96;144;17916;2392;284;1025;1.8125;15.6875;198802;156;86.36363636360001;1.40909090909;12.2272727273
mmultvector;ef2db19f1db7936a34805c1198a02209b9b42892;83;124;266;271;268;328;196;425;61;287;454;418;195;483;422;497;74;103;177;10344;2392;284;1025;5.6875;17.6875;145754;214;81.77272727270001;4.18181818182;14.0454545455
mmultvector;ef5e0d86230fbb6b184b570c4d149a438844329c;70;73;206;244;268;262;130;359;61;287;388;352;151;417;361;431;49;96;145;10216;2392;284;1025;1.9375;14.9375;145624;148;86.86363636360001;1.5;11.6363636364
mmultvector;ef9e360cd582abe6883d08df92dfe60b833ffbbc;197;180;482;447;801;760;628;857;61;287;886;839;213;403;859;929;322;147;469;10472;2392;284;1025;6.8125;16.1875;145378;646;81.9090909091;5.27272727273;12.8181818182
mmultvector;efdcc1d2e1355965e2cf2ef97048e0d98f878140;73;62;193;244;268;260;128;357;61;287;386;350;152;415;359;429;49;95;144;10280;2392;284;1025;1.4375;14.3125;145186;146;87.5909090909;1.13636363636;11.2727272727
mmultvector;f0b360d4991610a5c6899cc35d0db626869ae2ad;71;64;208;234;268;265;133;362;61;287;391;355;165;420;364;434;49;96;145;10280;2392;284;1025;1.1875;15.1875;145186;151;87.4090909091;0.909090909091;11.6818181818
mmultvector;f1300ad1706bd2eb9b1512e38a62e41c3eececb0;83;124;266;271;268;328;196;425;61;287;454;418;195;483;422;497;74;103;177;10344;2392;284;1025;5.25;17.0625;145250;214;82.5909090909;3.909090909090001;13.5
mmultvector;f171560eead64a8f6cd33d5cec9e590d1aae3682;69;62;194;233;296;248;116;359;61;287;388;352;154;417;348;431;48;97;145;18044;2392;284;1025;1.3125;15.75;210429;148;86.9090909091;0.954545454545;12.1363636364
mmultvector;f190814e409cfeeddb2225b86c39524642567eb0;68;67;206;234;268;261;129;358;61;287;387;351;154;416;360;430;49;96;145;10280;2392;284;1025;1.5;14.3125;145186;147;87.5909090909;1.1818181818200002;11.2272727273
mmultvector;f1d4823779410f86f7acdcd6798db0f03a3d3a38;79;64;194;238;302;267;118;367;61;287;396;360;149;425;348;439;50;99;149;17916;2392;284;1025;2.8125;14.1875;210303;156;86.4545454545;2.04545454545;11.5
mmultvector;f2cd0a7ef31f3ad369b5a497d3ef374809d94bb0;72;101;201;271;318;290;158;387;61;287;416;380;154;445;377;459;54;97;151;10216;2392;284;1025;3.6875;15.3125;145624;176;85.22727272729999;2.77272727273;12.0
mmultvector;f2e5331f679a1d6abf5e7c8c3ac4043a1c841f23;68;62;196;252;268;272;140;369;61;287;398;362;154;427;371;441;47;96;143;10216;2392;284;1025;1.9375;15.75;145624;158;85.8181818182;1.54545454545;12.6363636364
mmultvector;f3b1166e280ccd31f80c89a05e8987d1aaae104e;225;257;392;464;469;436;302;433;109;411;604;573;296;638;553;652;104;116;220;17916;2392;284;1025;21.625;18.0625;198528;369;70.1363636364;15.7727272727;14.0909090909
mmultvector;f43bd40527534e0283797fd3b433a217dabc9d3c;75;76;206;244;268;263;131;360;61;287;389;353;154;418;362;432;49;97;146;10216;2392;284;1025;2.375;14.9375;145624;149;86.36363636360001;1.81818181818;11.8181818182
mmultvector;f4d28737fc6313868dff4cd67b92f8102784758a;68;62;196;252;268;272;140;369;61;287;398;362;154;427;371;441;47;96;143;10216;2392;284;1025;1.8125;14.8125;145626;158;87.0909090909;1.36363636364;11.5454545455
mmultvector;f4e800868f534867c30add509cf16b288f0fcba8;70;76;206;244;268;263;131;360;61;287;389;353;154;418;362;432;49;97;146;10216;2392;284;1025;2.0625;15.0625;145624;149;86.5454545455;1.5;11.9545454545
mmultvector;f5936f937e2d5bf48561ce6068977fc0ca3e0f1c;76;67;210;236;268;267;135;364;61;287;393;357;163;422;366;436;49;98;147;10280;2392;284;1025;2.125;14.5625;145188;153;86.5909090909;1.6818181818200002;11.7272727273
